"","EntrezID","ReactomeID","Species"
"1","100008688","R-NUL-391434","Bos taurus"
"2","100008688","R-NUL-391437","Bos taurus"
"3","100008688","R-NUL-391444","Bos taurus"
"4","100009372","R-NUL-391434","Bos taurus"
"5","100009372","R-NUL-391437","Bos taurus"
"6","100009372","R-NUL-391444","Bos taurus"
"7","100034674","R-BTA-193650","Bos taurus"
"8","100034674","R-BTA-204981","Bos taurus"
"9","100034674","R-BTA-205117","Bos taurus"
"10","100048947","R-BTA-5223305","Bos taurus"
"11","100048947","R-BTA-8985201","Bos taurus"
"12","100048947","R-BTA-9009936","Bos taurus"
"13","100113475","R-BTA-1462023","Bos taurus"
"14","100113475","R-BTA-1462023","Bos taurus"
"15","100113475","R-BTA-1467269","Bos taurus"
"16","100113475","R-BTA-1471322","Bos taurus"
"17","100113475","R-BTA-1471322","Bos taurus"
"18","100124428","R-BTA-111437","Bos taurus"
"19","100124428","R-BTA-111438","Bos taurus"
"20","100124428","R-BTA-111439","Bos taurus"
"21","100124428","R-BTA-112381","Bos taurus"
"22","100124428","R-BTA-113402","Bos taurus"
"23","100124428","R-BTA-113407","Bos taurus"
"24","100124428","R-BTA-113409","Bos taurus"
"25","100124428","R-BTA-156661","Bos taurus"
"26","100124428","R-BTA-6803523","Bos taurus"
"27","100124428","R-BTA-6803527","Bos taurus"
"28","100124428","R-BTA-6814555","Bos taurus"
"29","100124428","R-BTA-72127","Bos taurus"
"30","100124428","R-BTA-72143","Bos taurus"
"31","100124428","R-BTA-72180","Bos taurus"
"32","100124428","R-BTA-72185","Bos taurus"
"33","100124428","R-BTA-75079","Bos taurus"
"34","100124428","R-BTA-75081","Bos taurus"
"35","100124428","R-BTA-75082","Bos taurus"
"36","100124428","R-BTA-75083","Bos taurus"
"37","100124428","R-BTA-75097","Bos taurus"
"38","100124428","R-BTA-75097","Bos taurus"
"39","100124428","R-BTA-77094","Bos taurus"
"40","100124428","R-BTA-77095","Bos taurus"
"41","100124428","R-BTA-77584","Bos taurus"
"42","100124428","R-BTA-77585","Bos taurus"
"43","100124428","R-BTA-77586","Bos taurus"
"44","100124428","R-BTA-77587","Bos taurus"
"45","100124428","R-BTA-77589","Bos taurus"
"46","100124428","R-BTA-77590","Bos taurus"
"47","100124428","R-BTA-77591","Bos taurus"
"48","100124428","R-BTA-77592","Bos taurus"
"49","100124428","R-BTA-77593","Bos taurus"
"50","100124428","R-BTA-77594","Bos taurus"
"51","100124428","R-BTA-8849157","Bos taurus"
"52","100124428","R-BTA-927789","Bos taurus"
"53","100124428","R-BTA-927836","Bos taurus"
"54","100124428","R-BTA-927889","Bos taurus"
"55","100124501","R-BTA-194913","Bos taurus"
"56","100124501","R-BTA-205039","Bos taurus"
"57","100124501","R-BTA-419166","Bos taurus"
"58","100124505","R-BTA-177284","Bos taurus"
"59","100124505","R-BTA-177284","Bos taurus"
"60","100124505","R-BTA-9644869","Bos taurus"
"61","100124507","R-BTA-110371","Bos taurus"
"62","100124507","R-BTA-174456","Bos taurus"
"63","100124507","R-BTA-5358592","Bos taurus"
"64","100124507","R-BTA-5651773","Bos taurus"
"65","100124507","R-BTA-5651789","Bos taurus"
"66","100124507","R-BTA-5651805","Bos taurus"
"67","100124507","R-BTA-6782227","Bos taurus"
"68","100124507","R-BTA-69173","Bos taurus"
"69","100124522","R-BTA-6814549","Bos taurus"
"70","100124522","R-BTA-6814555","Bos taurus"
"71","100124522","R-BTA-6814559","Bos taurus"
"72","100124525","R-BTA-373342","Bos taurus"
"73","100124525","R-BTA-380073","Bos taurus"
"74","100124525","R-BTA-749454","Bos taurus"
"75","100124525","R-BTA-749456","Bos taurus"
"76","100125224","R-BTA-1675773","Bos taurus"
"77","100125224","R-BTA-1675810","Bos taurus"
"78","100125224","R-BTA-1676082","Bos taurus"
"79","100125224","R-BTA-1676134","Bos taurus"
"80","100125224","R-BTA-1676145","Bos taurus"
"81","100125225","R-BTA-428052","Bos taurus"
"82","100125237","R-BTA-5676637","Bos taurus"
"83","100125264","R-BTA-111439","Bos taurus"
"84","100125264","R-BTA-158441","Bos taurus"
"85","100125264","R-BTA-158447","Bos taurus"
"86","100125264","R-BTA-158481","Bos taurus"
"87","100125264","R-BTA-158484","Bos taurus"
"88","100125264","R-BTA-159046","Bos taurus"
"89","100125264","R-BTA-159050","Bos taurus"
"90","100125264","R-BTA-170796","Bos taurus"
"91","100125264","R-BTA-191830","Bos taurus"
"92","100125264","R-BTA-2990880","Bos taurus"
"93","100125264","R-BTA-2990882","Bos taurus"
"94","100125264","R-BTA-3000399","Bos taurus"
"95","100125264","R-BTA-4551649","Bos taurus"
"96","100125264","R-BTA-4570493","Bos taurus"
"97","100125264","R-BTA-4615872","Bos taurus"
"98","100125264","R-BTA-4615987","Bos taurus"
"99","100125264","R-BTA-5228508","Bos taurus"
"100","100125264","R-BTA-5228523","Bos taurus"
"101","100125264","R-BTA-5252041","Bos taurus"
"102","100125264","R-BTA-75097","Bos taurus"
"103","100125264","R-BTA-77587","Bos taurus"
"104","100125264","R-BTA-77594","Bos taurus"
"105","100125267","R-BTA-8865667","Bos taurus"
"106","100125276","R-BTA-1013012","Bos taurus"
"107","100125276","R-BTA-1013013","Bos taurus"
"108","100125276","R-BTA-1013020","Bos taurus"
"109","100125276","R-BTA-114552","Bos taurus"
"110","100125276","R-BTA-114558","Bos taurus"
"111","100125276","R-BTA-167419","Bos taurus"
"112","100125276","R-BTA-167429","Bos taurus"
"113","100125276","R-BTA-167433","Bos taurus"
"114","100125276","R-BTA-379044","Bos taurus"
"115","100125276","R-BTA-379048","Bos taurus"
"116","100125276","R-BTA-380073","Bos taurus"
"117","100125276","R-BTA-381612","Bos taurus"
"118","100125276","R-BTA-392187","Bos taurus"
"119","100125276","R-BTA-392195","Bos taurus"
"120","100125276","R-BTA-392202","Bos taurus"
"121","100125276","R-BTA-392295","Bos taurus"
"122","100125276","R-BTA-392300","Bos taurus"
"123","100125276","R-BTA-3965444","Bos taurus"
"124","100125276","R-BTA-3965447","Bos taurus"
"125","100125276","R-BTA-396996","Bos taurus"
"126","100125276","R-BTA-397835","Bos taurus"
"127","100125276","R-BTA-397891","Bos taurus"
"128","100125276","R-BTA-398040","Bos taurus"
"129","100125276","R-BTA-398193","Bos taurus"
"130","100125276","R-BTA-400037","Bos taurus"
"131","100125276","R-BTA-400092","Bos taurus"
"132","100125276","R-BTA-400097","Bos taurus"
"133","100125276","R-BTA-418576","Bos taurus"
"134","100125276","R-BTA-420883","Bos taurus"
"135","100125276","R-BTA-428749","Bos taurus"
"136","100125276","R-BTA-428750","Bos taurus"
"137","100125276","R-BTA-428752","Bos taurus"
"138","100125276","R-BTA-428909","Bos taurus"
"139","100125276","R-BTA-428917","Bos taurus"
"140","100125276","R-BTA-428918","Bos taurus"
"141","100125276","R-BTA-432195","Bos taurus"
"142","100125276","R-BTA-500717","Bos taurus"
"143","100125276","R-BTA-6814418","Bos taurus"
"144","100125276","R-BTA-749448","Bos taurus"
"145","100125276","R-BTA-749452","Bos taurus"
"146","100125276","R-BTA-749453","Bos taurus"
"147","100125276","R-BTA-749454","Bos taurus"
"148","100125276","R-BTA-749456","Bos taurus"
"149","100125276","R-BTA-750988","Bos taurus"
"150","100125276","R-BTA-750993","Bos taurus"
"151","100125276","R-BTA-751001","Bos taurus"
"152","100125276","R-BTA-751019","Bos taurus"
"153","100125276","R-BTA-751027","Bos taurus"
"154","100125276","R-BTA-751029","Bos taurus"
"155","100125276","R-BTA-751039","Bos taurus"
"156","100125276","R-BTA-8850560","Bos taurus"
"157","100125276","R-BTA-8964241","Bos taurus"
"158","100125276","R-BTA-8964271","Bos taurus"
"159","100125276","R-BTA-8964317","Bos taurus"
"160","100125276","R-BTA-8964599","Bos taurus"
"161","100125276","R-BTA-8964604","Bos taurus"
"162","100125276","R-BTA-8964605","Bos taurus"
"163","100125276","R-BTA-8964614","Bos taurus"
"164","100125276","R-BTA-8964634","Bos taurus"
"165","100125276","R-BTA-8982637","Bos taurus"
"166","100125276","R-BTA-8982640","Bos taurus"
"167","100125276","R-BTA-9021596","Bos taurus"
"168","100125276","R-BTA-9021600","Bos taurus"
"169","100125276","R-BTA-9021601","Bos taurus"
"170","100125278","R-BTA-975040","Bos taurus"
"171","100125287","R-BTA-176116","Bos taurus"
"172","100125287","R-BTA-176250","Bos taurus"
"173","100125287","R-BTA-176298","Bos taurus"
"174","100125287","R-BTA-5684875","Bos taurus"
"175","100125287","R-BTA-5684882","Bos taurus"
"176","100125287","R-BTA-5684887","Bos taurus"
"177","100125287","R-BTA-5685011","Bos taurus"
"178","100125287","R-BTA-5685156","Bos taurus"
"179","100125287","R-BTA-5686642","Bos taurus"
"180","100125287","R-BTA-5693561","Bos taurus"
"181","100125287","R-BTA-5693564","Bos taurus"
"182","100125287","R-BTA-5693580","Bos taurus"
"183","100125287","R-BTA-6788385","Bos taurus"
"184","100125287","R-BTA-6788392","Bos taurus"
"185","100125287","R-BTA-6799332","Bos taurus"
"186","100125299","R-BTA-5686430","Bos taurus"
"187","100125299","R-BTA-5686440","Bos taurus"
"188","100125299","R-BTA-5686475","Bos taurus"
"189","100125299","R-BTA-5693584","Bos taurus"
"190","100125299","R-BTA-6785732","Bos taurus"
"191","100125299","R-BTA-6785986","Bos taurus"
"192","100125304","R-BTA-975040","Bos taurus"
"193","100125314","R-BTA-446198","Bos taurus"
"194","100125315","R-BTA-2032781","Bos taurus"
"195","100125315","R-BTA-8871260","Bos taurus"
"196","100125315","R-BTA-8951676","Bos taurus"
"197","100125317","R-BTA-3341296","Bos taurus"
"198","100125390","R-BTA-2025723","Bos taurus"
"199","100125390","R-BTA-2046265","Bos taurus"
"200","100125390","R-BTA-2046298","Bos taurus"
"201","100125390","R-BTA-975919","Bos taurus"
"202","100125413","R-BTA-975040","Bos taurus"
"203","100125413","R-BTA-975040","Bos taurus"
"204","100125416","R-BTA-5689544","Bos taurus"
"205","100125416","R-BTA-5691006","Bos taurus"
"206","100125416","R-BTA-8938217","Bos taurus"
"207","100125579","R-BTA-975040","Bos taurus"
"208","100125760","R-BTA-6798751","Bos taurus"
"209","100125760","R-BTA-6798751","Bos taurus"
"210","100125764","R-BTA-140696","Bos taurus"
"211","100125764","R-BTA-5578883","Bos taurus"
"212","100125764","R-BTA-8952289","Bos taurus"
"213","100125764","R-BTA-8952289","Bos taurus"
"214","100125777","R-BTA-8955241","Bos taurus"
"215","100125777","R-BTA-8956040","Bos taurus"
"216","100125777","R-BTA-983140","Bos taurus"
"217","100125777","R-BTA-983147","Bos taurus"
"218","100125777","R-BTA-983156","Bos taurus"
"219","100125777","R-BTA-983157","Bos taurus"
"220","100125778","R-BTA-3108203","Bos taurus"
"221","100125778","R-BTA-3108209","Bos taurus"
"222","100125778","R-BTA-3229089","Bos taurus"
"223","100125778","R-BTA-3229102","Bos taurus"
"224","100125778","R-BTA-3927824","Bos taurus"
"225","100125778","R-BTA-4551655","Bos taurus"
"226","100125778","R-BTA-4551727","Bos taurus"
"227","100125778","R-BTA-4570463","Bos taurus"
"228","100125778","R-BTA-8937989","Bos taurus"
"229","100125778","R-BTA-8943817","Bos taurus"
"230","100125778","R-BTA-8954082","Bos taurus"
"231","100125778","R-BTA-9007283","Bos taurus"
"232","100125778","R-BTA-9007447","Bos taurus"
"233","100125779","R-BTA-1483081","Bos taurus"
"234","100125834","R-BTA-6798739","Bos taurus"
"235","100125834","R-BTA-6798739","Bos taurus"
"236","100125834","R-BTA-6798747","Bos taurus"
"237","100125834","R-BTA-6798747","Bos taurus"
"238","100125834","R-BTA-6799350","Bos taurus"
"239","100125834","R-BTA-6799350","Bos taurus"
"240","100125834","R-BTA-8863494","Bos taurus"
"241","100125881","R-BTA-2562526","Bos taurus"
"242","100125881","R-BTA-5617816","Bos taurus"
"243","100125881","R-BTA-5623527","Bos taurus"
"244","100125881","R-BTA-8854182","Bos taurus"
"245","100125881","R-BTA-8876190","Bos taurus"
"246","100125881","R-BTA-8876190","Bos taurus"
"247","100125883","R-BTA-3321805","Bos taurus"
"248","100125883","R-BTA-3321883","Bos taurus"
"249","100125919","R-BTA-8862090","Bos taurus"
"250","100125926","R-BTA-6807875","Bos taurus"
"251","100125926","R-BTA-6807877","Bos taurus"
"252","100125926","R-BTA-6807877","Bos taurus"
"253","100125926","R-BTA-6809003","Bos taurus"
"254","100125926","R-BTA-6809011","Bos taurus"
"255","100125926","R-BTA-6811417","Bos taurus"
"256","100125926","R-BTA-6811418","Bos taurus"
"257","100125926","R-BTA-6811418","Bos taurus"
"258","100125926","R-BTA-6811423","Bos taurus"
"259","100125926","R-BTA-6811423","Bos taurus"
"260","100125926","R-BTA-6811426","Bos taurus"
"261","100125926","R-BTA-6811427","Bos taurus"
"262","100125928","R-BTA-8858270","Bos taurus"
"263","100126042","R-BTA-6784399","Bos taurus"
"264","100126042","R-BTA-70679","Bos taurus"
"265","100126049","R-BTA-6810464","Bos taurus"
"266","100126076","R-BTA-5671702","Bos taurus"
"267","100126171","R-BTA-399944","Bos taurus"
"268","100126171","R-BTA-399944","Bos taurus"
"269","100126171","R-BTA-399947","Bos taurus"
"270","100126171","R-BTA-399947","Bos taurus"
"271","100126171","R-BTA-399951","Bos taurus"
"272","100126179","R-BTA-975040","Bos taurus"
"273","100126443","R-BTA-975040","Bos taurus"
"274","100134966","R-BTA-141409","Bos taurus"
"275","100134966","R-BTA-141422","Bos taurus"
"276","100134966","R-BTA-141431","Bos taurus"
"277","100134966","R-BTA-141439","Bos taurus"
"278","100134966","R-BTA-1638803","Bos taurus"
"279","100134966","R-BTA-1638821","Bos taurus"
"280","100134966","R-BTA-195275","Bos taurus"
"281","100134966","R-BTA-195280","Bos taurus"
"282","100134966","R-BTA-195283","Bos taurus"
"283","100134966","R-BTA-195287","Bos taurus"
"284","100134966","R-BTA-195300","Bos taurus"
"285","100134966","R-BTA-195304","Bos taurus"
"286","100134966","R-BTA-195318","Bos taurus"
"287","100134966","R-BTA-2130279","Bos taurus"
"288","100134966","R-BTA-2130282","Bos taurus"
"289","100134966","R-BTA-2130286","Bos taurus"
"290","100134966","R-BTA-2467809","Bos taurus"
"291","100134966","R-BTA-2467811","Bos taurus"
"292","100134966","R-BTA-2468287","Bos taurus"
"293","100134966","R-BTA-2484822","Bos taurus"
"294","100134966","R-BTA-375302","Bos taurus"
"295","100134966","R-BTA-388809","Bos taurus"
"296","100134966","R-BTA-5229343","Bos taurus"
"297","100134966","R-BTA-5666160","Bos taurus"
"298","100134966","R-BTA-5666169","Bos taurus"
"299","100135053","R-BTA-975040","Bos taurus"
"300","100137723","R-BTA-109639","Bos taurus"
"301","100137723","R-BTA-111264","Bos taurus"
"302","100137723","R-BTA-112379","Bos taurus"
"303","100137723","R-BTA-112385","Bos taurus"
"304","100137723","R-BTA-113430","Bos taurus"
"305","100137723","R-BTA-5689317","Bos taurus"
"306","100137723","R-BTA-5689861","Bos taurus"
"307","100137723","R-BTA-5690213","Bos taurus"
"308","100137723","R-BTA-5690988","Bos taurus"
"309","100137723","R-BTA-5690990","Bos taurus"
"310","100137723","R-BTA-5690991","Bos taurus"
"311","100137723","R-BTA-5690996","Bos taurus"
"312","100137723","R-BTA-5691000","Bos taurus"
"313","100137723","R-BTA-5696670","Bos taurus"
"314","100137723","R-BTA-6781818","Bos taurus"
"315","100137723","R-BTA-6781824","Bos taurus"
"316","100137723","R-BTA-6781833","Bos taurus"
"317","100137723","R-BTA-6781840","Bos taurus"
"318","100137723","R-BTA-6781867","Bos taurus"
"319","100137723","R-BTA-6782004","Bos taurus"
"320","100137723","R-BTA-6782069","Bos taurus"
"321","100137723","R-BTA-6782131","Bos taurus"
"322","100137723","R-BTA-6782138","Bos taurus"
"323","100137723","R-BTA-6782141","Bos taurus"
"324","100137723","R-BTA-6782204","Bos taurus"
"325","100137723","R-BTA-6782208","Bos taurus"
"326","100137723","R-BTA-6782211","Bos taurus"
"327","100137723","R-BTA-6782224","Bos taurus"
"328","100137723","R-BTA-6782227","Bos taurus"
"329","100137723","R-BTA-6790454","Bos taurus"
"330","100137723","R-BTA-6790487","Bos taurus"
"331","100137723","R-BTA-6797606","Bos taurus"
"332","100137723","R-BTA-73758","Bos taurus"
"333","100137723","R-BTA-73769","Bos taurus"
"334","100137723","R-BTA-74986","Bos taurus"
"335","100137723","R-BTA-74993","Bos taurus"
"336","100137723","R-BTA-75850","Bos taurus"
"337","100137723","R-BTA-75861","Bos taurus"
"338","100137723","R-BTA-75862","Bos taurus"
"339","100137723","R-BTA-75864","Bos taurus"
"340","100137723","R-BTA-75866","Bos taurus"
"341","100137723","R-BTA-75949","Bos taurus"
"342","100137723","R-BTA-76576","Bos taurus"
"343","100137723","R-BTA-77068","Bos taurus"
"344","100137723","R-BTA-77069","Bos taurus"
"345","100137723","R-BTA-77071","Bos taurus"
"346","100137723","R-BTA-77073","Bos taurus"
"347","100137723","R-BTA-77077","Bos taurus"
"348","100137723","R-BTA-77078","Bos taurus"
"349","100137723","R-BTA-77081","Bos taurus"
"350","100137723","R-BTA-77083","Bos taurus"
"351","100137723","R-BTA-77085","Bos taurus"
"352","100137723","R-BTA-77090","Bos taurus"
"353","100137723","R-BTA-9613494","Bos taurus"
"354","100137723","R-BTA-9613497","Bos taurus"
"355","100137734","R-BTA-8862084","Bos taurus"
"356","100137734","R-BTA-8862084","Bos taurus"
"357","100137734","R-BTA-8862090","Bos taurus"
"358","100137840","R-BTA-432164","Bos taurus"
"359","100137840","R-BTA-438037","Bos taurus"
"360","100137840","R-BTA-451283","Bos taurus"
"361","100137840","R-BTA-451311","Bos taurus"
"362","100137840","R-BTA-5671993","Bos taurus"
"363","100137840","R-BTA-5672965","Bos taurus"
"364","100137840","R-BTA-5682794","Bos taurus"
"365","100137840","R-BTA-6797554","Bos taurus"
"366","100137840","R-BTA-8849878","Bos taurus"
"367","100137840","R-BTA-8849891","Bos taurus"
"368","100137840","R-BTA-8849906","Bos taurus"
"369","100137855","R-BTA-975040","Bos taurus"
"370","100137953","R-BTA-6798747","Bos taurus"
"371","100137953","R-BTA-6798747","Bos taurus"
"372","100137953","R-BTA-6799350","Bos taurus"
"373","100137953","R-BTA-6799350","Bos taurus"
"374","100137953","R-BTA-939763","Bos taurus"
"375","100137953","R-BTA-947591","Bos taurus"
"376","100138004","R-BTA-174931","Bos taurus"
"377","100138004","R-BTA-174931","Bos taurus"
"378","100138004","R-BTA-174931","Bos taurus"
"379","100138004","R-BTA-174931","Bos taurus"
"380","100138011","R-BTA-379044","Bos taurus"
"381","100138011","R-BTA-420265","Bos taurus"
"382","100138017","R-BTA-392051","Bos taurus"
"383","100138017","R-BTA-392053","Bos taurus"
"384","100138017","R-BTA-392054","Bos taurus"
"385","100138017","R-BTA-5672965","Bos taurus"
"386","100138100","R-BTA-4827382","Bos taurus"
"387","100138100","R-BTA-5159250","Bos taurus"
"388","100138312","R-BTA-201035","Bos taurus"
"389","100138312","R-BTA-434382","Bos taurus"
"390","100138312","R-BTA-548843","Bos taurus"
